157	1039	232727122878	24344798926	18700956	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
158	1040	5810392	4340722	101785	['host1']	['host0']	['host6']	['host11']
159	1042	39649064895	6509718329	22860	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
160	1052	785	489	497	['host1']	['host0']	['host6']	['host11']
161	1053	41858640	29056217	25666855	['host1']	['host0']	['host6']	['host11']
162	1060	17695998	11263986	135284	['host1']	['host0']	['host6']	['host11']
163	1063	404	22	191	['host1']	['host0']	['host6']	['host11']
164	1069	234718207973	18638479713	15412969	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
165	1073	302	18	136	['host1']	['host0']	['host6']	['host11']
166	1083	52661072443	1501429824	5615845	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0']	['host10']	['host1']
167	1087	1529	665	480	['host1']	['host0']	['host6']	['host11']
168	1100	11078987	11313318	82982	['host1']	['host0']	['host6']	['host11']
169	1104	502465373	3441	2020	['host1']	['host0']	['host6']	['host11']
170	1105	232881640440	22126057072	17562036	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
171	1113	302	18	136	['host1']	['host0']	['host6']	['host11']
172	1115	404	18	191	['host1']	['host0']	['host6']	['host11']
173	1117	19233627	12369625	133644	['host1']	['host0']	['host6']	['host11']
174	1133	1223987760	31132536	15953988	['host1', 'host8', 'host7']	['host11']	['host15']	['host3']
175	1134	950	3281	4519	['host1']	['host0']	['host6']	['host11']
176	1149	501	49	277	['host1']	['host0']	['host6']	['host11']
177	1159	404	22	191	['host1']	['host0']	['host6']	['host11']
178	1160	302	22	136	['host1']	['host0']	['host6']	['host11']
